Drug_Name,SMILES,PubChem_ID,CID,CID_Source,score,status,PUG_View,Assay_Summary
fenethazine,CN(C)CCN1c2ccccc2Sc2ccccc21,,68223.0,Drug_Name,0,ok,0,0
mecloqualone,Cc1nc2ccccc2c(=O)n1-c1ccccc1Cl,,9567.0,Drug_Name,25,ok,25,0
nordazepam,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,,2997.0,Drug_Name,12,ok,12,0
clofenamide,NS(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,,69594.0,Drug_Name,0,ok,0,0
medazepam,CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21,,4041.0,Drug_Name,15,ok,15,0
pentrinitrol,O=[N+]([O-])OCC(CO)(CO[N+](=O)[O-])CO[N+](=O)[O-],,15353.0,Drug_Name,0,ok,0,0
acetaminosalol,CC(=O)Nc1ccc(OC(=O)c2ccccc2O)cc1,,1984.0,Drug_Name,1,ok,1,0
carbubarb,CCCCC1(CCOC(N)=O)C(=O)NC(=O)NC1=O,,13743.0,Drug_Name,0,ok,0,0
ftivazide,COc1cc(C=NNC(=O)c2ccncc2)ccc1O,,135412163.0,Drug_Name,0,ok,0,0
amoscanate,O=[N+]([O-])c1ccc(Nc2ccc(N=C=S)cc2)cc1,,33488.0,Drug_Name,0,ok,0,0
metiazinic acid,CN1c2ccccc2Sc2ccc(CC(=O)O)cc21,,4164.0,Drug_Name,0,ok,0,0
carbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,,9564.0,Drug_Name,33,ok,33,0
desomorphine,CN1CCC23c4c5ccc(O)c4OC2CCCC3C1C5,,5362456.0,Drug_Name,69,ok,69,0
subathizone,CCS(=O)(=O)c1ccc(C=NNC(N)=S)cc1,,6474578.0,Drug_Name,0,ok,0,0
nepinalone,CC1(CCN2CCCCC2)C(=O)CCc2ccccc21,,3047788.0,Drug_Name,0,ok,0,0
dextromethorphan,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,,5360696.0,Drug_Name,306,ok,306,0
delmopinol,CCCC(CCC)CCCC1COCCN1CCO,,57337.0,Drug_Name,0,ok,0,0
bupranolol,Cc1ccc(Cl)c(OCC(O)CNC(C)(C)C)c1,,2475.0,Drug_Name,1,ok,1,0
zoledronic acid,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,,68740.0,Drug_Name,68,ok,68,0
