Drug_Name,PubChem_ID
Nafamostat mesylate,5311180
Nafazoline,4436
Naftidrofuryl,4417
Nail polish,NOT_FOUND
Nail polish remover,NOT_FOUND
Naphtalene (can be present in mothballs),NOT_FOUND
Napthalene,931
Narcotics,NOT_FOUND
Nasal decongestants,NOT_FOUND
Nedaplatin,9796440
Neocarzinostatin,57125363
Neonicotinoid insecticides,NOT_FOUND
Neprilysin,NOT_FOUND
Neritinib,NOT_FOUND
Nerve agents,NOT_FOUND
Neuroleptics - Antipsychotics,NOT_FOUND
Neuromuscular blocking agents (NMBA-NMBD),NOT_FOUND
Nicergoline,34040
Niflumic acid,4488
Nimesulide,4495
Nimotuzumab,NOT_FOUND
Niridazol,6093
Nitric acid fumes,NOT_FOUND
Nitric oxide (NO),NOT_FOUND
Nitrites - Nitrates (oral - inhaled ('Poppers')),NOT_FOUND
Nitrobenzene,7416
Nitrogen mustard,4033
"Nitrosoureas (suffixes '-NU', '-mustine')",NOT_FOUND
Nitrous oxide (N2O),NOT_FOUND
Nomifensine,4528
Nonsteroidal anti-inflammatory drugs (NSAIDs),NOT_FOUND
Noramidopyrine,10618
Normal saline (9/1000 NaCl),NOT_FOUND
Nupercaine,3025
Obatoclax,11404337
Obinutuzumab,NOT_FOUND
Oblimersen,NOT_FOUND
Ocrelizumab,NOT_FOUND
Octenidine mouthwash solution,NOT_FOUND
Odansetron,NOT_FOUND
Oil - Paraffin - Lipids (i.v.),NOT_FOUND
Oil-/lipid-based formulations (parenteral),NOT_FOUND
Okrelizumab,NOT_FOUND
Oleander leaf extract,NOT_FOUND
Olive oil,NOT_FOUND
Omapatrilat,656629
Ombitasvir,54767916
Onartuzumab,NOT_FOUND
Opiates - Opioids - Opium,NOT_FOUND
Opioids (synthetic),NOT_FOUND
